repoName,repoOrg,contributor_login,contributions
tensorflow,tensorflow,tensorflower-gardener,6878
tensorflow,tensorflow,vrv,1023
tensorflow,tensorflow,caisq,932
tensorflow,tensorflow,benoitsteiner,802
tensorflow,tensorflow,gunan,528
tensorflow,tensorflow,martinwicke,488
tensorflow,tensorflow,ebrevdo,421
tensorflow,tensorflow,ilblackdragon,409
tensorflow,tensorflow,mrry,405
tensorflow,tensorflow,dandelionmane,366
tensorflow,tensorflow,yifeif,286
tensorflow,tensorflow,terrytangyuan,283
tensorflow,tensorflow,asimshankar,269
tensorflow,tensorflow,hawkinsp,265
tensorflow,tensorflow,jhseu,243
tensorflow,tensorflow,andrewharp,231
tensorflow,tensorflow,av8ramit,208
tensorflow,tensorflow,ispirmustafa,198
tensorflow,tensorflow,dsmilkov,184
tensorflow,tensorflow,alextp,179
tensorflow,tensorflow,girving,178
tensorflow,tensorflow,xiejw,174
tensorflow,tensorflow,petewarden,166
tensorflow,tensorflow,drpngx,163
tensorflow,tensorflow,jart,138
tensorflow,tensorflow,concretevitamin,127
tensorflow,tensorflow,josh11b,123
tensorflow,tensorflow,jlebar,123
tensorflow,tensorflow,keveman,122
tensorflow,tensorflow,suharshs,121
tensorflow,tensorflow,yongtang,118
tensorflow,tensorflow,yuanbyu,115
tensorflow,tensorflow,rohan100jain,103
tensorflow,tensorflow,lukeiwanski,100
tensorflow,tensorflow,langmore,98
tensorflow,tensorflow,jvdillon,98
tensorflow,tensorflow,aselle,97
tensorflow,tensorflow,charlesnicholson,90
tensorflow,tensorflow,maciekcc,90
tensorflow,tensorflow,sukritiramesh,90
tensorflow,tensorflow,MarkDaoust,87
tensorflow,tensorflow,davidsoergel,83
tensorflow,tensorflow,meheffernan,79
tensorflow,tensorflow,zhangyaobit,79
tensorflow,tensorflow,vincentvanhoucke,78
tensorflow,tensorflow,zheng-xq,78
tensorflow,tensorflow,rmlarsen,78
tensorflow,tensorflow,nsthorat,77
tensorflow,tensorflow,skye,76
tensorflow,tensorflow,meteorcloudy,74
tensorflow,tensorflow,itsmeolivia,68
tensorflow,tensorflow,yuefengz,66
tensorflow,tensorflow,jendap,66
tensorflow,tensorflow,dave-andersen,64
tensorflow,tensorflow,saeta,61
tensorflow,tensorflow,annarev,60
tensorflow,tensorflow,rryan,59
tensorflow,tensorflow,eliben,56
tensorflow,tensorflow,DavidNorman,49
tensorflow,tensorflow,frankchn,47
tensorflow,tensorflow,fchollet,46
tensorflow,tensorflow,sherrym,45
tensorflow,tensorflow,RenatoUtsch,44
tensorflow,tensorflow,allenlavoie,44
tensorflow,tensorflow,rinugun,43
tensorflow,tensorflow,sguada,43
tensorflow,tensorflow,lukaszkaiser,40
tensorflow,tensorflow,kayzhu,38
tensorflow,tensorflow,fayeshine,38
tensorflow,tensorflow,guschmue,38
tensorflow,tensorflow,alanyee,36
tensorflow,tensorflow,majnemer,36
tensorflow,tensorflow,theweiho,36
tensorflow,tensorflow,nealwu,36
tensorflow,tensorflow,taehoonlee,36
tensorflow,tensorflow,kirilg,35
tensorflow,tensorflow,facaiy,35
tensorflow,tensorflow,ysuematsu,34
tensorflow,tensorflow,jpienaar,33
tensorflow,tensorflow,yaroslavvb,33
tensorflow,tensorflow,dongjoon-hyun,32
tensorflow,tensorflow,yzhwang,32
tensorflow,tensorflow,learyg,31
tensorflow,tensorflow,wujingyue,31
tensorflow,tensorflow,Androbin,29
tensorflow,tensorflow,isaprykin,29
tensorflow,tensorflow,gaohuazuo,29
tensorflow,tensorflow,alisidd,28
tensorflow,tensorflow,vinuraja,28
tensorflow,tensorflow,iganichev,27
